
> gaming-ui-demo@0.1.0 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.18.0.1:3000
- Environments: .env.local
✓ Ready in 1660ms

○ Compiling / ...
 GET /api/transactions?type=deposit&page=1 401 in 24ms (next.js: 7ms, application-code: 17ms)
 GET /api/transactions?type=deposit&page=1 200 in 54ms (next.js: 12ms, application-code: 42ms)
 GET /api/transactions?type=deposit&page=1 401 in 44ms (next.js: 17ms, application-code: 27ms)
 GET /api/transactions?type=deposit&page=1 200 in 66ms (next.js: 21ms, application-code: 45ms)
 GET /api/transactions?type=deposit&page=1 401 in 28ms (next.js: 10ms, application-code: 18ms)
 GET /api/transactions?type=deposit&page=1 200 in 36ms (next.js: 8ms, application-code: 28ms)
 GET /api/transactions?type=deposit&page=1 401 in 30ms (next.js: 13ms, application-code: 16ms)
 GET /api/transactions?type=deposit&page=1 200 in 34ms (next.js: 7ms, application-code: 26ms)
 GET /api/transactions?type=deposit&page=1 401 in 40ms (next.js: 14ms, application-code: 26ms)
 GET /api/transactions?type=deposit&page=1 200 in 61ms (next.js: 16ms, application-code: 45ms)
 GET /api/transactions?type=deposit&page=1 401 in 26ms (next.js: 8ms, application-code: 18ms)
 GET /api/transactions?type=deposit&page=1 200 in 37ms (next.js: 12ms, application-code: 26ms)
 GET /api/transactions?type=deposit&page=1 401 in 44ms (next.js: 14ms, application-code: 30ms)
 GET /api/transactions?type=deposit&page=1 200 in 58ms (next.js: 14ms, application-code: 44ms)
 GET /api/transactions?type=deposit&page=1 401 in 23ms (next.js: 7ms, application-code: 15ms)
 GET /api/transactions?type=deposit&page=1 200 in 41ms (next.js: 10ms, application-code: 31ms)
 GET /api/transactions?type=deposit&page=1 401 in 37ms (next.js: 9ms, application-code: 28ms)
 GET /api/transactions?type=deposit&page=1 200 in 50ms (next.js: 22ms, application-code: 28ms)
 GET /api/transactions?type=deposit&page=1 401 in 24ms (next.js: 8ms, application-code: 16ms)
 GET /api/transactions?type=deposit&page=1 200 in 41ms (next.js: 12ms, application-code: 29ms)
 GET /api/transactions?type=deposit&page=1 401 in 28ms (next.js: 10ms, application-code: 19ms)
 GET /api/transactions?type=deposit&page=1 200 in 36ms (next.js: 7ms, application-code: 29ms)
 GET /api/transactions?type=deposit&page=1 401 in 56ms (next.js: 9ms, application-code: 47ms)
 GET /api/transactions?type=deposit&page=1 200 in 70ms (next.js: 35ms, application-code: 36ms)
 GET /api/transactions?type=deposit&page=1 401 in 46ms (next.js: 18ms, application-code: 27ms)
 GET /api/transactions?type=deposit&page=1 200 in 56ms (next.js: 14ms, application-code: 42ms)
 GET /api/transactions?type=deposit&page=1 401 in 25ms (next.js: 11ms, application-code: 14ms)
 GET /api/transactions?type=deposit&page=1 200 in 35ms (next.js: 9ms, application-code: 26ms)
 GET /api/transactions?type=deposit&page=1 401 in 29ms (next.js: 10ms, application-code: 19ms)
 GET /api/transactions?type=deposit&page=1 200 in 44ms (next.js: 12ms, application-code: 32ms)
 GET /api/transactions?type=deposit&page=1 401 in 26ms (next.js: 8ms, application-code: 17ms)
 GET /api/transactions?type=deposit&page=1 200 in 68ms (next.js: 34ms, application-code: 34ms)
 GET /api/transactions?type=deposit&page=1 401 in 27ms (next.js: 10ms, application-code: 17ms)
 GET /api/transactions?type=deposit&page=1 200 in 45ms (next.js: 12ms, application-code: 32ms)
 GET /api/transactions?type=deposit&page=1 401 in 28ms (next.js: 11ms, application-code: 17ms)
 GET /api/transactions?type=deposit&page=1 200 in 31ms (next.js: 6ms, application-code: 25ms)
 GET /api/transactions?type=deposit&page=1 401 in 23ms (next.js: 9ms, application-code: 15ms)
 GET /api/transactions?type=deposit&page=1 200 in 40ms (next.js: 7ms, application-code: 33ms)
 GET /api/transactions?type=deposit&page=1 401 in 42ms (next.js: 15ms, application-code: 27ms)
 GET /api/transactions?type=deposit&page=1 200 in 52ms (next.js: 13ms, application-code: 39ms)
 GET /api/transactions?type=deposit&page=1 401 in 19ms (next.js: 7ms, application-code: 12ms)
